episode_reward,episode_length,timestep
26.0,13,56
26.0,13,60
26.0,13,64
26.0,13,68
26.0,13,72
26.0,13,76
26.0,13,80
26.0,13,84
26.0,13,88
26.0,13,92
26.0,13,96
46.0,23,96
26.0,13,100
46.0,23,100
26.0,13,104
46.0,23,104
50.0,25,104
26.0,13,108
46.0,23,108
50.0,25,108
26.0,13,112
46.0,23,112
50.0,25,112
26.0,13,116
46.0,23,116
50.0,25,116
26.0,13,120
46.0,23,120
50.0,25,120
26.0,13,124
46.0,23,124
50.0,25,124
26.0,13,128
46.0,23,128
50.0,25,128
26.0,13,132
46.0,23,132
50.0,25,132
26.0,13,136
46.0,23,136
50.0,25,136
26.0,13,140
46.0,23,140
50.0,25,140
26.0,13,144
46.0,23,144
50.0,25,144
26.0,13,148
46.0,23,148
50.0,25,148
26.0,13,152
46.0,23,152
50.0,25,152
26.0,13,156
46.0,23,156
50.0,25,156
26.0,13,160
46.0,23,160
50.0,25,160
26.0,13,164
46.0,23,164
50.0,25,164
26.0,13,168
46.0,23,168
50.0,25,168
82.0,41,168
26.0,13,172
46.0,23,172
50.0,25,172
82.0,41,172
26.0,13,176
46.0,23,176
50.0,25,176
82.0,41,176
36.0,18,176
26.0,13,180
46.0,23,180
50.0,25,180
82.0,41,180
36.0,18,180
26.0,13,184
46.0,23,184
50.0,25,184
82.0,41,184
36.0,18,184
26.0,13,188
46.0,23,188
50.0,25,188
82.0,41,188
36.0,18,188
26.0,13,192
46.0,23,192
50.0,25,192
82.0,41,192
36.0,18,192
26.0,13,196
46.0,23,196
50.0,25,196
82.0,41,196
36.0,18,196
26.0,13,200
46.0,23,200
50.0,25,200
82.0,41,200
36.0,18,200
26.0,13,204
46.0,23,204
50.0,25,204
82.0,41,204
36.0,18,204
26.0,13,208
46.0,23,208
50.0,25,208
82.0,41,208
36.0,18,208
76.0,38,208
26.0,13,212
46.0,23,212
50.0,25,212
82.0,41,212
36.0,18,212
76.0,38,212
58.0,29,212
26.0,13,216
46.0,23,216
50.0,25,216
82.0,41,216
36.0,18,216
76.0,38,216
58.0,29,216
26.0,13,220
46.0,23,220
50.0,25,220
82.0,41,220
36.0,18,220
76.0,38,220
58.0,29,220
26.0,13,224
46.0,23,224
50.0,25,224
82.0,41,224
36.0,18,224
76.0,38,224
58.0,29,224
26.0,13,228
46.0,23,228
50.0,25,228
82.0,41,228
36.0,18,228
76.0,38,228
58.0,29,228
26.0,13,232
46.0,23,232
50.0,25,232
82.0,41,232
